envio_idenvio;material_idmaterial;cantidad
1;11;10
1;13;100
1;14;10
1;15;100
1;16;100
1;17;1000
1;18;100
1;19;100
1;20;100
1;21;200
2;22;100
2;23;100
2;24;100
2;25;100
2;1;100
2;2;100
2;3;100
2;4;100
2;5;100
2;6;100
2;7;100
3;21;1000
3;22;1000
3;23;1000
3;24;1000
3;25;1000
3;26;1000
3;27;1000
4;28;100
4;29;100
4;26;100
4;27;100
4;28;100
4;29;100
4;30;100
5;9;1000
5;10;1000
5;11;1000
5;13;1000
5;14;1000
5;15;1000
5;16;1000
6;2;500
6;3;500
6;4;500
6;5;500
6;6;500
6;7;500
6;8;500
6;9;500
6;10;500
6;11;500
6;13;500
7;17;100
7;18;100
7;19;100
7;20;100
7;21;100
7;22;100
8;4;100
8;5;100
8;6;100
8;7;100
8;8;100
8;9;100
8;10;100
8;11;100
8;13;100
8;14;100
8;15;100
8;16;100
8;17;100
8;18;100
8;19;100
8;20;100
8;21;100
8;22;100
8;23;100
8;24;100
8;25;100
9;4;100
9;5;100
9;6;100
9;7;100
9;8;100
9;9;100
10;17;100
10;18;100
10;19;100
10;20;100
10;21;100
10;22;100
10;23;100
