cod_evento;Ubicacion;tipo;sede_idsede;colaborador_nif
1;;captacion;10;A69389435
2;;captacion;17;A61278230
3;;captacion;11;A03001815
4;;captacion;14;A18203760
5;;captacion;14;A14531729
6;;captacion;17;A14871723
7;;captacion;11;A17671723
8;;captacion;17;A14764789
9;;captacion;13;A14764790
10;;captacion;13;A14764791
11;;captacion;10;A14764792
12;;captacion;12;A14764793
13;;captacion;15;A14764794
14;;captacion;18;A14764795
15;;captacion;17;A14764796
16;;captacion;15;A14764797
17;;captacion;17;A14764798
18;;captacion;14;A14764799
19;;captacion;14;A14764800
20;;captacion;17;A14764801
21;;concienciacion;18;A14764802
22;;concienciacion;16;A14764803
23;;concienciacion;12;A14764804
24;;concienciacion;16;A14764805
25;;concienciacion;18;A14764806
26;;concienciacion;13;A14764803
27;;concienciacion;11;A14764804
28;;donacion;17;A14764805
29;;donacion;5;A14764803
30;;donacion;1;A14764804
31;;donacion;8;A14764803
32;;donacion;14;A14764804
33;;donacion;1;A14764803
34;;donacion;1;A14764804
35;;captacion;5;A14764805
36;;captacion;11;A14764803
37;;concienciacion;12;A14764804
38;;donacion;4;A14764805
39;;donacion;8;A14764806
40;;donacion;8;A14764803
41;;donacion;15;A14764804
42;;donacion;11;A14764804
